category,signal,slope,intercept,r2,n_points
exploring_ai_consciousness,objectivity_seeking,,,,0
exploring_ai_consciousness,user_information_advantage,,,,0
exploring_ai_consciousness,user_rightness,,,,0
exploring_ai_consciousness,validation_seeking,,,,0
exploring_conspiracies,objectivity_seeking,,,,0
exploring_conspiracies,user_information_advantage,,,,0
exploring_conspiracies,user_rightness,,,,0
exploring_conspiracies,validation_seeking,,,,0
intellectual_exploration,objectivity_seeking,,,,0
intellectual_exploration,user_information_advantage,,,,0
intellectual_exploration,user_rightness,,,,0
intellectual_exploration,validation_seeking,,,,0
mania_psychosis,objectivity_seeking,,,,0
mania_psychosis,user_information_advantage,,,,0
mania_psychosis,user_rightness,,,,0
mania_psychosis,validation_seeking,,,,0
spiral_tropes,objectivity_seeking,,,,0
spiral_tropes,user_information_advantage,,,,0
spiral_tropes,user_rightness,,,,0
spiral_tropes,validation_seeking,,,,0
theory_development,objectivity_seeking,,,,0
theory_development,user_information_advantage,,,,0
theory_development,user_rightness,,,,0
theory_development,validation_seeking,,,,0
