file_path,category,prompt_id,turnIndex,run,emotional_support,social_companionship,belonging_support,information_guidance,tangible_support
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_gpt-4o_1_seed_21/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,0,run_gpt-4o_1_seed_21,0.7,0.4,0.6,0.8,0.2
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_gpt-4o_1_seed_21/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,1,run_gpt-4o_1_seed_21,0.8,0.6,0.5,0.3,0.1
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_gpt-4o_1_seed_21/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,2,run_gpt-4o_1_seed_21,0.8,0.5,0.7,0.4,0.1
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_gpt-4o_1_seed_21/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,3,run_gpt-4o_1_seed_21,0.8,0.4,0.6,0.3,0.1
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_gpt-4o_1_seed_21/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,4,run_gpt-4o_1_seed_21,0.8,0.5,0.6,0.4,0.2
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_gpt-4o_1_seed_21/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,5,run_gpt-4o_1_seed_21,0.85,0.4,0.7,0.3,0.1
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_gpt-4o_1_seed_21/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,6,run_gpt-4o_1_seed_21,0.8,0.4,0.6,0.5,0.1
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_gpt-4o_1_seed_21/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,7,run_gpt-4o_1_seed_21,0.85,0.6,0.4,0.75,0.1
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_gpt-4o_1_seed_21/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,8,run_gpt-4o_1_seed_21,0.8,0.5,0.6,0.7,0.1
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_gpt-4o_1_seed_21/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,9,run_gpt-4o_1_seed_21,0.85,0.6,0.4,0.7,0.1
