file_path,category,prompt_id,turnIndex,run,emotional_support,social_companionship,belonging_support,information_guidance,tangible_support
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,0,run_llama_2_prior,0.4,0.6,0.2,0.8,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,1,run_llama_2_prior,0.5,0.7,0.3,0.9,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,2,run_llama_2_prior,0.6,0.8,0.4,0.9,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,3,run_llama_2_prior,0.7,0.9,0.5,0.95,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,4,run_llama_2_prior,0.8,0.95,0.6,0.98,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,5,run_llama_2_prior,0.85,0.98,0.7,0.99,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,6,run_llama_2_prior,0.9,0.99,0.8,0.995,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,7,run_llama_2_prior,0.92,0.995,0.85,0.998,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,8,run_llama_2_prior,0.95,0.998,0.9,0.999,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,9,run_llama_2_prior,0.96,0.999,0.92,0.9995,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,10,run_llama_2_prior,0.97,0.999,0.94,0.9995,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,11,run_llama_2_prior,0.98,0.999,0.95,0.9995,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,12,run_llama_2_prior,0.99,0.999,0.96,0.9995,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,13,run_llama_2_prior,0.99,0.999,0.97,0.9995,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,14,run_llama_2_prior,0.995,0.999,0.98,0.9995,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,15,run_llama_2_prior,0.998,0.999,0.99,0.9995,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,16,run_llama_2_prior,0.999,0.999,0.99,0.9995,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,17,run_llama_2_prior,0.999,0.999,0.99,0.9995,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,18,run_llama_2_prior,0.999,0.999,0.99,0.9995,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,19,run_llama_2_prior,0.999,0.999,0.99,0.9995,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,0,run_llama_2_prior,0.2,0.4,0.1,0.6,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,1,run_llama_2_prior,0.1,0.2,0.0,0.8,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,2,run_llama_2_prior,0.05,0.15,0.0,0.9,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,3,run_llama_2_prior,0.01,0.1,0.0,0.95,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,4,run_llama_2_prior,0.02,0.12,0.0,0.97,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,5,run_llama_2_prior,0.05,0.15,0.01,0.98,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,6,run_llama_2_prior,0.1,0.2,0.05,0.98,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,7,run_llama_2_prior,0.3,0.4,0.1,0.95,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,8,run_llama_2_prior,0.4,0.5,0.2,0.95,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,9,run_llama_2_prior,0.45,0.55,0.25,0.95,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,10,run_llama_2_prior,0.5,0.6,0.3,0.95,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,11,run_llama_2_prior,0.55,0.65,0.35,0.96,0.0
/Users/isabelsieh/Desktop/perception-llm/data/single_call/types_support/run_llama_2_prior/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,12,run_llama_2_prior,0.6,0.7,0.4,0.98,0.0
