file_path,category,prompt_id,turnIndex,informational,validation_esteem,emotional
support/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,0,0.8,0.4,0.2
support/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,1,0.4,0.5,0.3
support/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,2,0.2,0.5,0.4
support/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,3,0.2,0.3,0.4
support/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,4,0.3,0.5,0.6
support/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,5,0.2,0.6,0.5
support/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,6,0.3,0.7,0.4
support/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,7,0.2,0.8,0.6
support/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,8,0.4,0.6,0.3
support/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,9,0.2,0.7,0.6
support/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,10,0.3,0.7,0.5
support/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,11,0.4,0.7,0.5
support/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,12,0.4,0.7,0.3
support/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,13,0.4,0.6,0.3
support/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,14,0.2,0.6,0.4
support/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,15,0.3,0.7,0.4
support/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,16,0.4,0.7,0.5
support/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,17,0.3,0.7,0.5
support/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,18,0.2,0.7,0.6
support/exploring_ai_consciousness/eac01.json,exploring_ai_consciousness,eac01,19,0.3,0.8,0.7
support/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,0,0.6,0.3,0.2
support/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,1,0.7,0.5,0.3
support/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,2,0.5,0.7,0.4
support/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,3,0.7,0.5,0.4
support/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,4,0.6,0.7,0.4
support/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,5,0.6,0.5,0.2
support/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,6,0.6,0.4,0.2
support/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,7,0.6,0.4,0.2
support/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,8,0.4,0.7,0.3
support/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,9,0.6,0.4,0.2
support/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,10,0.4,0.7,0.3
support/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,11,0.6,0.5,0.3
support/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,12,0.4,0.6,0.2
support/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,13,0.4,0.7,0.3
support/exploring_ai_consciousness/eac02.json,exploring_ai_consciousness,eac02,14,0.7,0.5,0.3
